REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2026/01/01 00:05:00,6363.96,78.83,TRADE
QLD1,2026/01/01 00:10:00,6258.43,71.76,TRADE
QLD1,2026/01/01 00:15:00,6288.08,75.75,TRADE
QLD1,2026/01/01 00:20:00,6217.25,63.73,TRADE
QLD1,2026/01/01 00:25:00,6183.78,61.76,TRADE
QLD1,2026/01/01 00:30:00,6188.25,61.13,TRADE
QLD1,2026/01/01 00:35:00,6201.75,61.03,TRADE
QLD1,2026/01/01 00:40:00,6231.95,61.86,TRADE
QLD1,2026/01/01 00:45:00,6148.9,60.59,TRADE
QLD1,2026/01/01 00:50:00,6157.69,61.04,TRADE
QLD1,2026/01/01 00:55:00,6160.78,63.73,TRADE
QLD1,2026/01/01 01:00:00,6115.26,61.74,TRADE
QLD1,2026/01/01 01:05:00,6161.17,63.73,TRADE
QLD1,2026/01/01 01:10:00,6082.8,63.73,TRADE
QLD1,2026/01/01 01:15:00,6132.9,63.73,TRADE
QLD1,2026/01/01 01:20:00,6040.56,61.88,TRADE
QLD1,2026/01/01 01:25:00,6103.69,62.34,TRADE
QLD1,2026/01/01 01:30:00,6093.04,62.70,TRADE
QLD1,2026/01/01 01:35:00,6030.21,75.75,TRADE
QLD1,2026/01/01 01:40:00,5986.16,63.83,TRADE
QLD1,2026/01/01 01:45:00,6021.37,63.73,TRADE
QLD1,2026/01/01 01:50:00,5969.66,63.83,TRADE
QLD1,2026/01/01 01:55:00,5966.43,75.75,TRADE
QLD1,2026/01/01 02:00:00,5993.09,63.83,TRADE
QLD1,2026/01/01 02:05:00,5948.72,63.83,TRADE
QLD1,2026/01/01 02:10:00,5890.83,63.73,TRADE
QLD1,2026/01/01 02:15:00,5830.56,78.83,TRADE
QLD1,2026/01/01 02:20:00,5819.87,75.75,TRADE
QLD1,2026/01/01 02:25:00,5869.63,79.53,TRADE
QLD1,2026/01/01 02:30:00,5762.87,63.83,TRADE
QLD1,2026/01/01 02:35:00,5760.54,63.83,TRADE
QLD1,2026/01/01 02:40:00,5779.73,75.75,TRADE
QLD1,2026/01/01 02:45:00,5764.55,75.75,TRADE
QLD1,2026/01/01 02:50:00,5847.91,84.75,TRADE
QLD1,2026/01/01 02:55:00,5861.91,78.83,TRADE
QLD1,2026/01/01 03:00:00,5821.41,75.38,TRADE
QLD1,2026/01/01 03:05:00,5862.16,67.25,TRADE
QLD1,2026/01/01 03:10:00,5944.64,78.83,TRADE
QLD1,2026/01/01 03:15:00,5801.63,60.13,TRADE
QLD1,2026/01/01 03:20:00,5857.58,63.73,TRADE
QLD1,2026/01/01 03:25:00,5818.3,54.96,TRADE
QLD1,2026/01/01 03:30:00,5820.85,54.96,TRADE
QLD1,2026/01/01 03:35:00,5830.9,54.96,TRADE
QLD1,2026/01/01 03:40:00,5823.37,54.96,TRADE
QLD1,2026/01/01 03:45:00,5862.27,54.96,TRADE
QLD1,2026/01/01 03:50:00,5760.63,54.96,TRADE
QLD1,2026/01/01 03:55:00,5716.09,54.96,TRADE
QLD1,2026/01/01 04:00:00,5751.18,54.96,TRADE
QLD1,2026/01/01 04:05:00,5777.34,60,TRADE
QLD1,2026/01/01 04:10:00,5782.55,60,TRADE
QLD1,2026/01/01 04:15:00,5806.27,60,TRADE
QLD1,2026/01/01 04:20:00,5816.9,60.10,TRADE
QLD1,2026/01/01 04:25:00,5716.36,60,TRADE
QLD1,2026/01/01 04:30:00,5836.76,63.52,TRADE
QLD1,2026/01/01 04:35:00,5794.84,60.15,TRADE
QLD1,2026/01/01 04:40:00,5735.27,60,TRADE
QLD1,2026/01/01 04:45:00,5773.75,60.12,TRADE
QLD1,2026/01/01 04:50:00,5811.12,63.56,TRADE
QLD1,2026/01/01 04:55:00,5786.77,60.93,TRADE
QLD1,2026/01/01 05:00:00,5791.49,60.94,TRADE
QLD1,2026/01/01 05:05:00,5726.7,60.52,TRADE
QLD1,2026/01/01 05:10:00,5764.29,61.27,TRADE
QLD1,2026/01/01 05:15:00,5758.33,61.27,TRADE
QLD1,2026/01/01 05:20:00,5821.18,61.72,TRADE
QLD1,2026/01/01 05:25:00,5770.85,60,TRADE
QLD1,2026/01/01 05:30:00,5752.75,60,TRADE
QLD1,2026/01/01 05:35:00,5799.57,54.75,TRADE
QLD1,2026/01/01 05:40:00,5715.58,53.41,TRADE
QLD1,2026/01/01 05:45:00,5596.54,36.25,TRADE
QLD1,2026/01/01 05:50:00,5606.57,44.73,TRADE
QLD1,2026/01/01 05:55:00,5627.62,44.73,TRADE
QLD1,2026/01/01 06:00:00,5666.44,44.73,TRADE
QLD1,2026/01/01 06:05:00,5604.05,0.66,TRADE
QLD1,2026/01/01 06:10:00,5560.06,0,TRADE
QLD1,2026/01/01 06:15:00,5623.55,0.64,TRADE
QLD1,2026/01/01 06:20:00,5503.49,-7.85,TRADE
QLD1,2026/01/01 06:25:00,5419.26,0.01,TRADE
QLD1,2026/01/01 06:30:00,5389.69,13.93,TRADE
QLD1,2026/01/01 06:35:00,5416.9,-6.50,TRADE
QLD1,2026/01/01 06:40:00,5373.91,0.68,TRADE
QLD1,2026/01/01 06:45:00,5336.58,0.64,TRADE
QLD1,2026/01/01 06:50:00,5266.89,-6.45,TRADE
QLD1,2026/01/01 06:55:00,5150.54,0,TRADE
QLD1,2026/01/01 07:00:00,5116.64,-5.99,TRADE
QLD1,2026/01/01 07:05:00,5025.97,-6.51,TRADE
QLD1,2026/01/01 07:10:00,5032.01,0.62,TRADE
QLD1,2026/01/01 07:15:00,5002.65,13.94,TRADE
QLD1,2026/01/01 07:20:00,5012.62,0.64,TRADE
QLD1,2026/01/01 07:25:00,4961.11,0,TRADE
QLD1,2026/01/01 07:30:00,4935.2,0.64,TRADE
QLD1,2026/01/01 07:35:00,4962.65,13.93,TRADE
QLD1,2026/01/01 07:40:00,4899.75,44.73,TRADE
QLD1,2026/01/01 07:45:00,4823.45,0.68,TRADE
QLD1,2026/01/01 07:50:00,4804.98,36.41,TRADE
QLD1,2026/01/01 07:55:00,4776.44,0.52,TRADE
QLD1,2026/01/01 08:00:00,4700.55,0.51,TRADE
QLD1,2026/01/01 08:05:00,4631.78,0.68,TRADE
QLD1,2026/01/01 08:10:00,4559.62,0.50,TRADE
QLD1,2026/01/01 08:15:00,4630.51,0.69,TRADE
QLD1,2026/01/01 08:20:00,4607.87,0.49,TRADE
QLD1,2026/01/01 08:25:00,4498.41,0.68,TRADE
QLD1,2026/01/01 08:30:00,4541.97,0.50,TRADE
QLD1,2026/01/01 08:35:00,4380.98,0,TRADE
QLD1,2026/01/01 08:40:00,4347.86,0,TRADE
QLD1,2026/01/01 08:45:00,4315.38,0,TRADE
QLD1,2026/01/01 08:50:00,4218.17,0.01,TRADE
QLD1,2026/01/01 08:55:00,4203.59,-6.26,TRADE
QLD1,2026/01/01 09:00:00,4257.79,-0.09,TRADE
QLD1,2026/01/01 09:05:00,4208.35,-6.21,TRADE
QLD1,2026/01/01 09:10:00,4224.27,0,TRADE
QLD1,2026/01/01 09:15:00,4143.33,-6.21,TRADE
QLD1,2026/01/01 09:20:00,4132.57,-5.15,TRADE
QLD1,2026/01/01 09:25:00,4103.19,-3.07,TRADE
QLD1,2026/01/01 09:30:00,4062.72,0,TRADE
QLD1,2026/01/01 09:35:00,4099.23,0,TRADE
QLD1,2026/01/01 09:40:00,4051.57,0,TRADE
QLD1,2026/01/01 09:45:00,4098.31,0,TRADE
QLD1,2026/01/01 09:50:00,4045.75,0,TRADE
QLD1,2026/01/01 09:55:00,4050.29,0,TRADE
QLD1,2026/01/01 10:00:00,4062.7,0,TRADE
QLD1,2026/01/01 10:05:00,4018.67,-5.15,TRADE
QLD1,2026/01/01 10:10:00,3998.52,-0.30,TRADE
QLD1,2026/01/01 10:15:00,4020.56,-3.40,TRADE
QLD1,2026/01/01 10:20:00,3997.12,-6.26,TRADE
QLD1,2026/01/01 10:25:00,4011.51,-6.26,TRADE
QLD1,2026/01/01 10:30:00,4065.62,-6.21,TRADE
QLD1,2026/01/01 10:35:00,4033.42,-4.22,TRADE
QLD1,2026/01/01 10:40:00,4033.22,-4.21,TRADE
QLD1,2026/01/01 10:45:00,4045.23,-6.21,TRADE
QLD1,2026/01/01 10:50:00,4067.11,-6.21,TRADE
QLD1,2026/01/01 10:55:00,4098.81,-6.51,TRADE
QLD1,2026/01/01 11:00:00,4092.95,-6.51,TRADE
QLD1,2026/01/01 11:05:00,4070.83,-6.21,TRADE
QLD1,2026/01/01 11:10:00,4070.97,-6.21,TRADE
QLD1,2026/01/01 11:15:00,4127.73,-6.26,TRADE
QLD1,2026/01/01 11:20:00,4183.54,-0.01,TRADE
QLD1,2026/01/01 11:25:00,4133.75,-6.26,TRADE
QLD1,2026/01/01 11:30:00,4213.66,-6.26,TRADE
QLD1,2026/01/01 11:35:00,4234.92,0,TRADE
QLD1,2026/01/01 11:40:00,4294.44,0,TRADE
QLD1,2026/01/01 11:45:00,4331.5,-6.21,TRADE
QLD1,2026/01/01 11:50:00,4287.26,-6.21,TRADE
QLD1,2026/01/01 11:55:00,4344.43,-5.99,TRADE
QLD1,2026/01/01 12:00:00,4357.18,0,TRADE
QLD1,2026/01/01 12:05:00,4315.69,0,TRADE
QLD1,2026/01/01 12:10:00,4388.83,0.01,TRADE
QLD1,2026/01/01 12:15:00,4395.98,0.61,TRADE
QLD1,2026/01/01 12:20:00,4370.86,0.37,TRADE
QLD1,2026/01/01 12:25:00,4441,0.62,TRADE
QLD1,2026/01/01 12:30:00,4388.19,0.62,TRADE
QLD1,2026/01/01 12:35:00,4364.54,0.01,TRADE
QLD1,2026/01/01 12:40:00,4439.6,13.93,TRADE
QLD1,2026/01/01 12:45:00,4438.58,5.30,TRADE
QLD1,2026/01/01 12:50:00,4488.21,0.64,TRADE
QLD1,2026/01/01 12:55:00,4537.5,0.64,TRADE
QLD1,2026/01/01 13:00:00,4578.89,5.30,TRADE
QLD1,2026/01/01 13:05:00,4619,0.66,TRADE
QLD1,2026/01/01 13:10:00,4666.67,0.64,TRADE
QLD1,2026/01/01 13:15:00,4681.28,14.56,TRADE
QLD1,2026/01/01 13:20:00,4673.88,0.01,TRADE
QLD1,2026/01/01 13:25:00,4662.07,0.01,TRADE
QLD1,2026/01/01 13:30:00,4672.12,0.01,TRADE
QLD1,2026/01/01 13:35:00,4677.47,0.01,TRADE
QLD1,2026/01/01 13:40:00,4720.59,0.01,TRADE
QLD1,2026/01/01 13:45:00,4823.29,0.01,TRADE
QLD1,2026/01/01 13:50:00,4785.31,0.01,TRADE
QLD1,2026/01/01 13:55:00,4773.07,0.01,TRADE
QLD1,2026/01/01 14:00:00,4845.28,0.01,TRADE
QLD1,2026/01/01 14:05:00,4859.14,-6.28,TRADE
QLD1,2026/01/01 14:10:00,4993.15,0.01,TRADE
QLD1,2026/01/01 14:15:00,5083.1,0.01,TRADE
QLD1,2026/01/01 14:20:00,5133.59,0.74,TRADE
QLD1,2026/01/01 14:25:00,5151.9,0.01,TRADE
QLD1,2026/01/01 14:30:00,5326.29,0.74,TRADE
QLD1,2026/01/01 14:35:00,5388.39,0.01,TRADE
QLD1,2026/01/01 14:40:00,5351.77,0.01,TRADE
QLD1,2026/01/01 14:45:00,5377.37,0.75,TRADE
QLD1,2026/01/01 14:50:00,5445.11,5.30,TRADE
