REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2026/03/01 00:05:00,803.98,92.51,TRADE
TAS1,2026/03/01 00:10:00,798.78,91.43,TRADE
TAS1,2026/03/01 00:15:00,792.41,91.66,TRADE
TAS1,2026/03/01 00:20:00,791.18,91.63,TRADE
TAS1,2026/03/01 00:25:00,797.82,91.69,TRADE
TAS1,2026/03/01 00:30:00,788.75,88.04,TRADE
TAS1,2026/03/01 00:35:00,783.94,88.04,TRADE
TAS1,2026/03/01 00:40:00,784.24,88.04,TRADE
TAS1,2026/03/01 00:45:00,787.8,88.04,TRADE
TAS1,2026/03/01 00:50:00,785.82,88.04,TRADE
TAS1,2026/03/01 00:55:00,788.92,88.04,TRADE
TAS1,2026/03/01 01:00:00,784.71,87.67,TRADE
TAS1,2026/03/01 01:05:00,785.74,88.04,TRADE
TAS1,2026/03/01 01:10:00,791.44,88.04,TRADE
TAS1,2026/03/01 01:15:00,788.5,88.04,TRADE
TAS1,2026/03/01 01:20:00,781.21,88.04,TRADE
TAS1,2026/03/01 01:25:00,775.86,86.04,TRADE
TAS1,2026/03/01 01:30:00,771.77,86.04,TRADE
TAS1,2026/03/01 01:35:00,767.13,86.04,TRADE
TAS1,2026/03/01 01:40:00,768.41,86.04,TRADE
TAS1,2026/03/01 01:45:00,774.13,78.04,TRADE
TAS1,2026/03/01 01:50:00,777.59,78.04,TRADE
TAS1,2026/03/01 01:55:00,776.69,78.04,TRADE
TAS1,2026/03/01 02:00:00,778.46,78.04,TRADE
TAS1,2026/03/01 02:05:00,789.35,78.04,TRADE
TAS1,2026/03/01 02:10:00,785.91,78.04,TRADE
TAS1,2026/03/01 02:15:00,789.57,78.04,TRADE
TAS1,2026/03/01 02:20:00,784.33,80.04,TRADE
TAS1,2026/03/01 02:25:00,788.64,77.46,TRADE
TAS1,2026/03/01 02:30:00,791.06,78.04,TRADE
TAS1,2026/03/01 02:35:00,789.03,80.04,TRADE
TAS1,2026/03/01 02:40:00,785.08,80.04,TRADE
TAS1,2026/03/01 02:45:00,783.19,80.04,TRADE
TAS1,2026/03/01 02:50:00,780.79,80.04,TRADE
TAS1,2026/03/01 02:55:00,780.48,80.04,TRADE
TAS1,2026/03/01 03:00:00,781.09,80.04,TRADE
TAS1,2026/03/01 03:05:00,783.52,78.04,TRADE
TAS1,2026/03/01 03:10:00,781.34,78.04,TRADE
TAS1,2026/03/01 03:15:00,782.48,78.04,TRADE
TAS1,2026/03/01 03:20:00,790.48,78.04,TRADE
TAS1,2026/03/01 03:25:00,790.45,78.04,TRADE
TAS1,2026/03/01 03:30:00,790.76,78.04,TRADE
TAS1,2026/03/01 03:35:00,794.77,78.04,TRADE
TAS1,2026/03/01 03:40:00,789.34,78.04,TRADE
TAS1,2026/03/01 03:45:00,784.6,77.46,TRADE
TAS1,2026/03/01 03:50:00,783.38,77.46,TRADE
