REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2026/03/01 00:05:00,5074.19,52.58,TRADE
VIC1,2026/03/01 00:10:00,4979.56,51.64,TRADE
VIC1,2026/03/01 00:15:00,5014.22,51.87,TRADE
VIC1,2026/03/01 00:20:00,4956.12,51.84,TRADE
VIC1,2026/03/01 00:25:00,4924.74,51.76,TRADE
VIC1,2026/03/01 00:30:00,4901.46,52.16,TRADE
VIC1,2026/03/01 00:35:00,4888.56,52.17,TRADE
VIC1,2026/03/01 00:40:00,4798.49,48.50,TRADE
VIC1,2026/03/01 00:45:00,4789.44,51.85,TRADE
VIC1,2026/03/01 00:50:00,4803.72,52.54,TRADE
VIC1,2026/03/01 00:55:00,4793.18,52.18,TRADE
VIC1,2026/03/01 01:00:00,4706.71,47.47,TRADE
VIC1,2026/03/01 01:05:00,4763.92,48.11,TRADE
VIC1,2026/03/01 01:10:00,4769.98,48.80,TRADE
VIC1,2026/03/01 01:15:00,4740.89,48.19,TRADE
VIC1,2026/03/01 01:20:00,4715.62,33.92,TRADE
VIC1,2026/03/01 01:25:00,4618.62,33.69,TRADE
VIC1,2026/03/01 01:30:00,4603.12,33.93,TRADE
VIC1,2026/03/01 01:35:00,4604.89,34.43,TRADE
VIC1,2026/03/01 01:40:00,4591.77,35.94,TRADE
VIC1,2026/03/01 01:45:00,4479.09,12.71,TRADE
VIC1,2026/03/01 01:50:00,4506.74,33.02,TRADE
VIC1,2026/03/01 01:55:00,4490.66,19.18,TRADE
VIC1,2026/03/01 02:00:00,4475.39,24.07,TRADE
VIC1,2026/03/01 02:05:00,4476.55,35.94,TRADE
VIC1,2026/03/01 02:10:00,4379.95,18.70,TRADE
VIC1,2026/03/01 02:15:00,4366.37,19.18,TRADE
VIC1,2026/03/01 02:20:00,4359.55,37.21,TRADE
VIC1,2026/03/01 02:25:00,4361.85,12.71,TRADE
VIC1,2026/03/01 02:30:00,4364.11,22.31,TRADE
VIC1,2026/03/01 02:35:00,4366.14,12.71,TRADE
VIC1,2026/03/01 02:40:00,4295.79,12.71,TRADE
VIC1,2026/03/01 02:45:00,4340.72,1.67,TRADE
VIC1,2026/03/01 02:50:00,4302.83,12.71,TRADE
VIC1,2026/03/01 02:55:00,4340.91,8.95,TRADE
VIC1,2026/03/01 03:00:00,4334.75,12.71,TRADE
VIC1,2026/03/01 03:05:00,4263.24,8.95,TRADE
VIC1,2026/03/01 03:10:00,4236.93,12.71,TRADE
VIC1,2026/03/01 03:15:00,4267,12.71,TRADE
VIC1,2026/03/01 03:20:00,4329.75,12.71,TRADE
VIC1,2026/03/01 03:25:00,4337.84,19.18,TRADE
VIC1,2026/03/01 03:30:00,4272.25,13.67,TRADE
VIC1,2026/03/01 03:35:00,4319.25,19.18,TRADE
VIC1,2026/03/01 03:40:00,4290.95,19.18,TRADE
VIC1,2026/03/01 03:45:00,4284.69,13.67,TRADE
VIC1,2026/03/01 03:50:00,4220.78,12.71,TRADE
VIC1,2026/03/01 03:55:00,4203.46,1.67,TRADE
VIC1,2026/03/01 04:00:00,4264.12,8.95,TRADE
VIC1,2026/03/01 04:05:00,4281.38,12.71,TRADE
VIC1,2026/03/01 04:10:00,4296.34,12.71,TRADE
VIC1,2026/03/01 04:15:00,4279.7,12.71,TRADE
VIC1,2026/03/01 04:20:00,4283.81,8.95,TRADE
VIC1,2026/03/01 04:25:00,4297.47,14.07,TRADE
VIC1,2026/03/01 04:30:00,4325.74,19.18,TRADE
VIC1,2026/03/01 04:35:00,4251.02,12.71,TRADE
VIC1,2026/03/01 04:40:00,4241.42,22.05,TRADE
VIC1,2026/03/01 04:45:00,4254.12,12.71,TRADE
VIC1,2026/03/01 04:50:00,4323.11,22.05,TRADE
VIC1,2026/03/01 04:55:00,4322.72,21.86,TRADE
VIC1,2026/03/01 05:00:00,4278.27,18.19,TRADE
VIC1,2026/03/01 05:05:00,4293.19,22.05,TRADE
VIC1,2026/03/01 05:10:00,4325.49,22.05,TRADE
VIC1,2026/03/01 05:15:00,4379.29,17.62,TRADE
VIC1,2026/03/01 05:20:00,4303.1,12.71,TRADE
VIC1,2026/03/01 05:25:00,4318.39,12.71,TRADE
VIC1,2026/03/01 05:30:00,4319.99,19.18,TRADE
VIC1,2026/03/01 05:35:00,4404.5,19.18,TRADE
VIC1,2026/03/01 05:40:00,4462.24,19.18,TRADE
VIC1,2026/03/01 05:45:00,4404.94,19.18,TRADE
VIC1,2026/03/01 05:50:00,4482.97,19.18,TRADE
VIC1,2026/03/01 05:55:00,4464.08,19.18,TRADE
VIC1,2026/03/01 06:00:00,4490.82,19.18,TRADE
VIC1,2026/03/01 06:05:00,4487.42,19.18,TRADE
VIC1,2026/03/01 06:10:00,4446.94,19.18,TRADE
VIC1,2026/03/01 06:15:00,4500.26,22.05,TRADE
VIC1,2026/03/01 06:20:00,4496.27,12.71,TRADE
VIC1,2026/03/01 06:25:00,4527.16,12.71,TRADE
VIC1,2026/03/01 06:30:00,4487.65,12.71,TRADE
VIC1,2026/03/01 06:35:00,4461.57,32.41,TRADE
VIC1,2026/03/01 06:40:00,4490.48,18.76,TRADE
VIC1,2026/03/01 06:45:00,4480.44,12.71,TRADE
VIC1,2026/03/01 06:50:00,4410.11,10.68,TRADE
VIC1,2026/03/01 06:55:00,4390.48,12.71,TRADE
VIC1,2026/03/01 07:00:00,4443.07,0.67,TRADE
VIC1,2026/03/01 07:05:00,4445.44,13.69,TRADE
VIC1,2026/03/01 07:10:00,4386.03,11.41,TRADE
VIC1,2026/03/01 07:15:00,4431.02,12.71,TRADE
VIC1,2026/03/01 07:20:00,4419.45,8.95,TRADE
VIC1,2026/03/01 07:25:00,4398.51,8.95,TRADE
VIC1,2026/03/01 07:30:00,4392.32,11.67,TRADE
VIC1,2026/03/01 07:35:00,4307.45,13.69,TRADE
VIC1,2026/03/01 07:40:00,4319.85,14.46,TRADE
VIC1,2026/03/01 07:45:00,4342.05,13.69,TRADE
VIC1,2026/03/01 07:50:00,4382.98,13.69,TRADE
VIC1,2026/03/01 07:55:00,4328.09,13.69,TRADE
VIC1,2026/03/01 08:00:00,4357.73,13.69,TRADE
VIC1,2026/03/01 08:05:00,4343.61,8.95,TRADE
VIC1,2026/03/01 08:10:00,4385.62,12.71,TRADE
VIC1,2026/03/01 08:15:00,4390.72,14.48,TRADE
VIC1,2026/03/01 08:20:00,4312.51,12.71,TRADE
VIC1,2026/03/01 08:25:00,4274.36,12.71,TRADE
VIC1,2026/03/01 08:30:00,4293.89,8.95,TRADE
VIC1,2026/03/01 08:35:00,4286.42,9.33,TRADE
VIC1,2026/03/01 08:40:00,4274.85,9.33,TRADE
VIC1,2026/03/01 08:45:00,4333.46,12.71,TRADE
VIC1,2026/03/01 08:50:00,4326.06,8.95,TRADE
VIC1,2026/03/01 08:55:00,4326,0.61,TRADE
VIC1,2026/03/01 09:00:00,4322.36,0.61,TRADE
VIC1,2026/03/01 09:05:00,4221.47,8.95,TRADE
VIC1,2026/03/01 09:10:00,4259.08,8.95,TRADE
VIC1,2026/03/01 09:15:00,4156.46,0.60,TRADE
VIC1,2026/03/01 09:20:00,4142.49,0.01,TRADE
VIC1,2026/03/01 09:25:00,4156.15,0.60,TRADE
VIC1,2026/03/01 09:30:00,4048.41,0.01,TRADE
VIC1,2026/03/01 09:35:00,4053.58,0.61,TRADE
