region,period,date,rowCount,meanRRP,minRRP,maxRRP,p05RRP,p25RRP,p50RRP,p75RRP,p90RRP,p95RRP,meanDemand,minDemand,maxDemand,negativeRRPCount,stdRRP,volatilityRRP,expectedRowCount,missingRowCount,coveragePct,qualityScore,hourCount,hourCoveragePct,peakHour,peakHourRRP,offPeakMeanRRP,hoursAboveP95
NSW,202101,2021-01-01,47,31.251064,6.91,39.73,19.906,27.71,32.45,36.74,38.324,38.691,6449.564681,5611.96,7209.93,0,6.836485,32.82,1152,1105,4.079861,4.079861,24,100.0,20,38.68,31.472222,0
NSW,202101,2021-01-02,48,31.068333,13.56,38.59,21.9915,27.16,32.27,35.3175,37.299,38.2415,6578.316667,5564.77,7580.57,0,5.409707,25.03,1152,1104,4.166667,4.166667,24,100.0,18,38.525,30.775556,1
NSW,202101,2021-01-03,48,29.1775,-1.26,38.57,6.0615,24.5825,33.42,36.9725,37.814,38.4015,6752.295625,5685.03,8052.25,1,10.5554,39.83,1152,1104,4.166667,4.166667,24,100.0,19,38.495,33.976111,1
NSW,202101,2021-01-04,48,36.103333,31.47,40.91,32.0995,34.96,36.35,37.6525,38.615,38.733,7467.266667,5893.63,8836.48,0,2.159934,9.44,1152,1104,4.166667,4.166667,24,100.0,22,39.685,35.216111,1
NSW,202101,2021-01-05,48,37.3775,27.36,64.52,29.6535,33.0175,36.395,38.3975,44.057,52.9025,7510.465833,6021.07,9271.53,0,7.299582,37.16,1152,1104,4.166667,4.166667,24,100.0,19,59.595,36.513889,2
NSW,202101,2021-01-06,48,35.455208,31.3,44.34,32.118,32.9175,35.575,36.945,38.273,39.568,7269.828958,6113.69,8108.64,0,2.624942,13.04,1152,1104,4.166667,4.166667,24,100.0,17,39.2,34.151667,0
NSW,202101,2021-01-07,48,34.944375,29.64,38.2,31.7155,34.5,35.32,35.5075,36.643,37.7405,7038.155208,5936.71,7936.65,0,1.687657,8.56,1152,1104,4.166667,4.166667,24,100.0,20,37.74,35.272222,0
NSW,202101,2021-01-08,48,34.896042,27.7,53.79,29.747,31.915,33.305,36.0475,40.334,43.9645,6917.196667,5989.3,7683.92,0,5.152054,26.09,1152,1104,4.166667,4.166667,24,100.0,19,53.435,32.93,1
NSW,202101,2021-01-09,48,37.160625,29.09,61.8,31.1825,32.8475,35.245,38.8525,45.644,50.4715,6630.95625,5911.75,7777.51,0,6.658445,32.71,1152,1104,4.166667,4.166667,24,100.0,19,59.435,36.32,1
NSW,202101,2021-01-10,48,38.095208,15.89,86.54,23.847,30.94,38.235,40.1775,48.49,63.3415,6659.557917,5773.42,8434.99,0,12.589035,70.65,1152,1104,4.166667,4.166667,24,100.0,19,77.725,39.413889,1
NSW,202101,2021-01-11,48,39.643958,28.3,61.67,31.8545,35.19,36.5,41.4875,50.122,56.174,7544.0225,5957.11,9573.7,0,7.505567,33.37,1152,1104,4.166667,4.166667,24,100.0,18,61.34,35.274444,1
NSW,202101,2021-01-12,48,40.896042,32.32,59.25,33.6325,35.485,38.55,43.2725,52.17,56.7795,8058.727083,6079.26,10376.04,0,7.033484,26.93,1152,1104,4.166667,4.166667,24,100.0,19,58.335,37.705,2
NSW,202101,2021-01-13,48,66.330625,35.21,231.44,37.1755,39.33,42.355,58.3175,145.569,181.713,8255.76,6394.3,10430.48,0,49.990018,196.23,1152,1104,4.166667,4.166667,24,100.0,18,207.995,45.837778,2
NSW,202101,2021-01-14,48,74.190208,33.2,299.99,35.234,36.2475,42.675,59.91,179.26,287.344,8639.191458,6392.78,11729.36,0,74.3258,266.79,1152,1104,4.166667,4.166667,24,100.0,15,299.96,42.531111,1
NSW,202101,2021-01-15,48,38.079375,28.67,89.33,29.5105,34.7225,36.34,38.7275,42.831,48.4555,8114.848333,6446.13,9918.4,0,8.9635,60.66,1152,1104,4.166667,4.166667,24,100.0,00,65.77,40.661111,2
NSW,202101,2021-01-16,48,30.526875,8.76,39.57,17.5615,27.9225,32.16,35.0225,35.651,36.8505,6430.006042,5457.08,7736.97,0,6.31161,30.81,1152,1104,4.166667,4.166667,24,100.0,22,37.175,34.06,1
NSW,202101,2021-01-17,48,32.654167,0.56,61.41,9.46,27.0125,34.795,37.0075,47.681,54.6205,6446.331042,5566.54,7978.96,0,12.268516,60.85,1152,1104,4.166667,4.166667,24,100.0,19,57.375,35.886667,2
NSW,202101,2021-01-18,48,39.300625,32.93,55.84,35.418,36.405,38.175,40.9125,44.768,45.157,7845.455833,6048.96,10075.24,0,4.072808,22.91,1152,1104,4.166667,4.166667,24,100.0,20,50.44,37.852778,2
NSW,202101,2021-01-19,48,36.147708,33.09,39.95,33.8925,35.39,35.895,36.7325,38.474,38.855,7510.216875,6305.91,8450.77,0,1.503735,6.86,1152,1104,4.166667,4.166667,24,100.0,00,39.165,36.255,2
NSW,202101,2021-01-20,48,34.541875,24.8,39.64,25.157,34.495,35.545,36.2775,37.251,37.8615,7288.359583,6026.99,8139.66,0,3.546556,14.84,1152,1104,4.166667,4.166667,24,100.0,20,38.43,32.545556,1
