region,period,file,firstTimestamp,lastTimestamp,rows,malformedRows,intervalModeMinutes,firstIntervalMinutes,expectedFullRows,expectedSpanRows,coverageFullPct,coverageSpanPct,estimatedMissingIntervals,intervalAnomalies,duplicateIntervals,isPartialMonth,status,meanRRP,minRRP,maxRRP,p05RRP,p25RRP,p50RRP,p75RRP,p90RRP,p95RRP,p99RRP,meanDemand,minDemand,maxDemand,demandP95,negativeRRPCount,highRRPIntervalCount,highRRPEventCount,longestHighRRPEventIntervals,longestHighRRPEventMinutes
NSW,202101,NSW202101.csv,2021/01/01 00:30:00,2021/02/01 00:00:00,1488,0,30,30.0,1488,1488,100.0,100.0,0,0,0,False,ok,38.839543,-1.26,299.99,26.27,33.1675,35.77,38.6025,45.288,55.5585,139.1951,7570.487742,5457.08,12197.57,10248.7635,1,0,0,0,0
NSW,202102,NSW202102.csv,2021/02/01 00:30:00,2021/03/01 00:00:00,1344,0,30,30.0,1344,1344,100.0,100.0,0,0,0,False,ok,35.129606,-4.02,163.19,26.8745,32.6875,35.09,36.2925,39.59,43.6185,58.8672,7469.320655,5704.44,10177.59,9014.9045,1,0,0,0,0
NSW,202103,NSW202103.csv,2021/03/01 00:30:00,2021/04/01 00:00:00,1488,0,30,30.0,1488,1488,100.0,100.0,0,0,0,False,ok,38.967856,4.25,255.61,24.209,32.59,35.475,40.36,52.645,62.257,105.163,7320.171344,5468.27,11404.28,8717.593,0,0,0,0,0
NSW,202104,NSW202104.csv,2021/04/01 00:30:00,2021/05/01 00:00:00,1440,0,30,30.0,1440,1440,100.0,100.0,0,0,0,False,ok,55.707062,-41.99,2673.52,19.1635,34.2475,39.03,55.8425,89.434,157.285,280.8632,7167.313153,5170.46,9605.85,8746.4315,31,1,1,1,30
NSW,202105,NSW202105.csv,2021/05/01 00:30:00,2021/06/01 00:00:00,1488,0,30,30.0,1488,1488,100.0,100.0,0,0,0,False,ok,117.590128,6.95,7651.8,31.694,36.775,46.6,67.415,148.998,242.4515,2450.6904,7847.246391,5848.51,10588.39,9841.688,0,34,17,5,150
NSW,202106,NSW202106.csv,2021/06/01 00:30:00,2021/07/01 00:00:00,1440,0,30,30.0,1440,1440,100.0,100.0,0,0,0,False,ok,160.039562,-85.28,8022.05,37.1295,54.84,76.415,115.965,211.504,299.124,2394.1982,8814.176722,6493.13,12863.76,11097.5375,1,54,25,10,300
NSW,202107,NSW202107.csv,2021/07/01 00:30:00,2021/08/01 00:00:00,1488,0,30,30.0,1488,1488,100.0,100.0,0,0,0,False,ok,124.012688,-96.28,5176.53,30.0975,49.99,74.41,138.4875,246.97,297.531,371.0319,8733.675464,6424.44,12396.95,11197.6585,10,40,19,7,210
NSW,202108,NSW202108.csv,2021/08/01 00:30:00,2021/09/01 00:00:00,1488,0,30,30.0,1488,1488,100.0,100.0,0,0,0,False,ok,60.146452,-92.69,299.98,1.948,37.9775,55.0,76.5,101.973,121.672,248.2711,7806.468952,5189.86,12040.28,9928.1545,66,0,0,0,0
NSW,202109,NSW202109.csv,2021/09/01 00:30:00,2021/10/01 00:00:00,1440,0,30,30.0,1440,1440,100.0,100.0,0,0,0,False,ok,48.904944,-51.11,299.98,-14.212,36.225,51.475,62.3225,79.122,92.8845,188.0434,7066.365521,4767.17,10236.28,8870.6635,125,0,0,0,0
NSW,202110,NSW202110.csv,2021/10/01 00:05:00,2021/11/01 00:00:00,8928,0,5,5.0,8928,8928,100.0,100.0,0,0,0,False,ok,57.116968,-80.0,910.63,-28.677,43.58,59.96,69.89,82.95,101.4365,277.94,6722.81355,4286.19,9331.65,8232.363,877,2,2,1,5
NSW,202111,NSW202111.csv,2021/11/01 00:05:00,2021/12/01 00:00:00,8640,0,5,5.0,8640,8640,100.0,100.0,0,0,0,False,ok,64.44016,-60.38,15100.0,10.829,50.05,60.755,68.5,82.95,98.7075,157.6631,6944.08628,4962.66,8885.21,8187.516,298,6,6,1,5
NSW,202112,NSW202112.csv,2021/12/01 00:05:00,2022/01/01 00:00:00,8928,0,5,5.0,8928,8928,100.0,100.0,0,0,0,False,ok,67.960395,-1000.0,1175.71,9.7745,55.01,65.03,78.07,108.0,123.14,192.6819,7146.572273,5200.2,11196.03,8994.715,301,3,2,2,10
NSW,202201,NSW202201.csv,2022/01/01 00:05:00,2022/02/01 00:00:00,8928,0,5,5.0,8928,8928,100.0,100.0,0,0,0,False,ok,77.167739,-322.46,299.99,33.165,66.035,76.575,83.0,100.286,115.9795,215.2374,7623.912866,5604.14,11603.27,9494.638,47,0,0,0,0
NSW,202202,NSW202202.csv,2022/02/01 00:05:00,2022/03/01 00:00:00,8064,0,5,5.0,8064,8064,100.0,100.0,0,0,0,False,ok,83.033338,-1000.0,15100.0,28.7645,67.435,79.015,91.97,110.851,124.3985,217.8891,7528.933838,5318.28,12518.02,9532.626,199,35,11,8,40
