file,region,period,rows,issue,estimatedMissingIntervals,intervalAnomalies,malformedRows
NSW202101.csv,NSW,202101,1488,none,0,0,0
NSW202102.csv,NSW,202102,1344,none,0,0,0
NSW202103.csv,NSW,202103,1488,none,0,0,0
NSW202104.csv,NSW,202104,1440,none,0,0,0
NSW202105.csv,NSW,202105,1488,none,0,0,0
NSW202106.csv,NSW,202106,1440,none,0,0,0
NSW202107.csv,NSW,202107,1488,none,0,0,0
NSW202108.csv,NSW,202108,1488,none,0,0,0
NSW202109.csv,NSW,202109,1440,none,0,0,0
NSW202110.csv,NSW,202110,8928,none,0,0,0
NSW202111.csv,NSW,202111,8640,none,0,0,0
NSW202112.csv,NSW,202112,8928,none,0,0,0
NSW202201.csv,NSW,202201,8928,none,0,0,0
NSW202202.csv,NSW,202202,8064,none,0,0,0
NSW202203.csv,NSW,202203,8928,none,0,0,0
NSW202204.csv,NSW,202204,8640,none,0,0,0
NSW202205.csv,NSW,202205,8928,none,0,0,0
NSW202206.csv,NSW,202206,8640,none,0,0,0
NSW202207.csv,NSW,202207,8928,none,0,0,0
NSW202208.csv,NSW,202208,8928,none,0,0,0
NSW202209.csv,NSW,202209,8640,none,0,0,0
NSW202210.csv,NSW,202210,8928,none,0,0,0
NSW202211.csv,NSW,202211,8640,none,0,0,0
NSW202212.csv,NSW,202212,8928,none,0,0,0
NSW202301.csv,NSW,202301,8928,none,0,0,0
NSW202302.csv,NSW,202302,8064,none,0,0,0
NSW202303.csv,NSW,202303,8928,none,0,0,0
NSW202304.csv,NSW,202304,8640,none,0,0,0
NSW202305.csv,NSW,202305,8928,none,0,0,0
NSW202306.csv,NSW,202306,8640,none,0,0,0
NSW202307.csv,NSW,202307,8928,none,0,0,0
NSW202308.csv,NSW,202308,8928,none,0,0,0
NSW202309.csv,NSW,202309,8640,none,0,0,0
NSW202310.csv,NSW,202310,8928,none,0,0,0
NSW202311.csv,NSW,202311,8640,none,0,0,0
NSW202312.csv,NSW,202312,8928,none,0,0,0
NSW202401.csv,NSW,202401,8928,none,0,0,0
NSW202402.csv,NSW,202402,8352,none,0,0,0
NSW202403.csv,NSW,202403,8928,none,0,0,0
NSW202404.csv,NSW,202404,8640,none,0,0,0
NSW202405.csv,NSW,202405,8928,none,0,0,0
NSW202406.csv,NSW,202406,8640,none,0,0,0
NSW202407.csv,NSW,202407,8928,none,0,0,0
NSW202408.csv,NSW,202408,8928,none,0,0,0
NSW202409.csv,NSW,202409,8640,none,0,0,0
NSW202410.csv,NSW,202410,8928,none,0,0,0
NSW202411.csv,NSW,202411,8640,none,0,0,0
NSW202412.csv,NSW,202412,8928,none,0,0,0
NSW202501.csv,NSW,202501,8928,none,0,0,0
NSW202502.csv,NSW,202502,8064,none,0,0,0
NSW202503.csv,NSW,202503,8928,none,0,0,0
NSW202504.csv,NSW,202504,8640,none,0,0,0
NSW202505.csv,NSW,202505,8928,none,0,0,0
NSW202506.csv,NSW,202506,8640,none,0,0,0
NSW202507.csv,NSW,202507,8928,none,0,0,0
NSW202508.csv,NSW,202508,8928,none,0,0,0
NSW202509.csv,NSW,202509,8640,none,0,0,0
NSW202510.csv,NSW,202510,8928,none,0,0,0
NSW202511.csv,NSW,202511,8640,none,0,0,0
NSW202512.csv,NSW,202512,8928,none,0,0,0
NSW202601.csv,NSW,202601,8928,none,0,0,0
NSW202602.csv,NSW,202602,8064,none,0,0,0
NSW202603.csv,NSW,202603,4896,incomplete-month;partial-month,0,0,0
QLD202101.csv,QLD,202101,1488,none,0,0,0
QLD202102.csv,QLD,202102,1344,none,0,0,0
QLD202103.csv,QLD,202103,1488,none,0,0,0
QLD202104.csv,QLD,202104,1440,none,0,0,0
QLD202105.csv,QLD,202105,1488,none,0,0,0
QLD202106.csv,QLD,202106,1440,none,0,0,0
QLD202107.csv,QLD,202107,1488,none,0,0,0
QLD202108.csv,QLD,202108,1488,none,0,0,0
QLD202109.csv,QLD,202109,1440,none,0,0,0
QLD202110.csv,QLD,202110,8928,none,0,0,0
QLD202111.csv,QLD,202111,8640,none,0,0,0
QLD202112.csv,QLD,202112,8928,none,0,0,0
QLD202201.csv,QLD,202201,8928,none,0,0,0
QLD202202.csv,QLD,202202,8064,none,0,0,0
QLD202203.csv,QLD,202203,8928,none,0,0,0
QLD202204.csv,QLD,202204,8640,none,0,0,0
QLD202205.csv,QLD,202205,8928,none,0,0,0
QLD202206.csv,QLD,202206,8640,none,0,0,0
QLD202207.csv,QLD,202207,8928,none,0,0,0
QLD202208.csv,QLD,202208,8928,none,0,0,0
QLD202209.csv,QLD,202209,8640,none,0,0,0
QLD202210.csv,QLD,202210,8928,none,0,0,0
QLD202211.csv,QLD,202211,8640,none,0,0,0
QLD202212.csv,QLD,202212,8928,none,0,0,0
QLD202301.csv,QLD,202301,8928,none,0,0,0
QLD202302.csv,QLD,202302,8064,none,0,0,0
QLD202303.csv,QLD,202303,8928,none,0,0,0
QLD202304.csv,QLD,202304,8640,none,0,0,0
QLD202305.csv,QLD,202305,8928,none,0,0,0
QLD202306.csv,QLD,202306,8640,none,0,0,0
QLD202307.csv,QLD,202307,8928,none,0,0,0
QLD202308.csv,QLD,202308,8928,none,0,0,0
QLD202309.csv,QLD,202309,8640,none,0,0,0
QLD202310.csv,QLD,202310,8928,none,0,0,0
QLD202311.csv,QLD,202311,8640,none,0,0,0
QLD202312.csv,QLD,202312,8928,none,0,0,0
QLD202401.csv,QLD,202401,8928,none,0,0,0
QLD202402.csv,QLD,202402,8352,none,0,0,0
QLD202403.csv,QLD,202403,8928,none,0,0,0
QLD202404.csv,QLD,202404,8640,none,0,0,0
QLD202405.csv,QLD,202405,8928,none,0,0,0
QLD202406.csv,QLD,202406,8640,none,0,0,0
QLD202407.csv,QLD,202407,8928,none,0,0,0
QLD202408.csv,QLD,202408,8928,none,0,0,0
QLD202409.csv,QLD,202409,8640,none,0,0,0
QLD202410.csv,QLD,202410,8928,none,0,0,0
QLD202411.csv,QLD,202411,8640,none,0,0,0
QLD202412.csv,QLD,202412,8928,none,0,0,0
QLD202501.csv,QLD,202501,8928,none,0,0,0
QLD202502.csv,QLD,202502,8064,none,0,0,0
QLD202503.csv,QLD,202503,8928,none,0,0,0
QLD202504.csv,QLD,202504,8640,none,0,0,0
QLD202505.csv,QLD,202505,8928,none,0,0,0
QLD202506.csv,QLD,202506,8640,none,0,0,0
QLD202507.csv,QLD,202507,8928,none,0,0,0
QLD202508.csv,QLD,202508,8928,none,0,0,0
QLD202509.csv,QLD,202509,8640,none,0,0,0
QLD202510.csv,QLD,202510,8928,none,0,0,0
QLD202511.csv,QLD,202511,8640,none,0,0,0
QLD202512.csv,QLD,202512,8928,none,0,0,0
QLD202601.csv,QLD,202601,8928,none,0,0,0
QLD202602.csv,QLD,202602,8064,none,0,0,0
QLD202603.csv,QLD,202603,4896,incomplete-month;partial-month,0,0,0
SA202101.csv,SA,202101,1488,none,0,0,0
SA202102.csv,SA,202102,1344,none,0,0,0
SA202103.csv,SA,202103,1488,none,0,0,0
SA202104.csv,SA,202104,1440,none,0,0,0
SA202105.csv,SA,202105,1488,none,0,0,0
SA202106.csv,SA,202106,1440,none,0,0,0
SA202107.csv,SA,202107,1488,none,0,0,0
SA202108.csv,SA,202108,1488,none,0,0,0
SA202109.csv,SA,202109,1440,none,0,0,0
SA202110.csv,SA,202110,8928,none,0,0,0
SA202111.csv,SA,202111,8640,none,0,0,0
SA202112.csv,SA,202112,8928,none,0,0,0
SA202201.csv,SA,202201,8928,none,0,0,0
SA202202.csv,SA,202202,8064,none,0,0,0
SA202203.csv,SA,202203,8928,none,0,0,0
SA202204.csv,SA,202204,8640,none,0,0,0
SA202205.csv,SA,202205,8928,none,0,0,0
SA202206.csv,SA,202206,8640,none,0,0,0
SA202207.csv,SA,202207,8928,none,0,0,0
SA202208.csv,SA,202208,8928,none,0,0,0
SA202209.csv,SA,202209,8640,none,0,0,0
SA202210.csv,SA,202210,8928,none,0,0,0
SA202211.csv,SA,202211,8640,none,0,0,0
SA202212.csv,SA,202212,8928,none,0,0,0
SA202301.csv,SA,202301,8928,none,0,0,0
SA202302.csv,SA,202302,8064,none,0,0,0
SA202303.csv,SA,202303,8928,none,0,0,0
SA202304.csv,SA,202304,8640,none,0,0,0
SA202305.csv,SA,202305,8928,none,0,0,0
SA202306.csv,SA,202306,8640,none,0,0,0
SA202307.csv,SA,202307,8928,none,0,0,0
SA202308.csv,SA,202308,8928,none,0,0,0
SA202309.csv,SA,202309,8640,none,0,0,0
SA202310.csv,SA,202310,8928,none,0,0,0
SA202311.csv,SA,202311,8640,none,0,0,0
SA202312.csv,SA,202312,8928,none,0,0,0
SA202401.csv,SA,202401,8928,none,0,0,0
SA202402.csv,SA,202402,8352,none,0,0,0
SA202403.csv,SA,202403,8928,none,0,0,0
SA202404.csv,SA,202404,8640,none,0,0,0
SA202405.csv,SA,202405,8928,none,0,0,0
SA202406.csv,SA,202406,8640,none,0,0,0
SA202407.csv,SA,202407,8928,none,0,0,0
SA202408.csv,SA,202408,8928,none,0,0,0
SA202409.csv,SA,202409,8640,none,0,0,0
SA202410.csv,SA,202410,8928,none,0,0,0
SA202411.csv,SA,202411,8640,none,0,0,0
SA202412.csv,SA,202412,8928,none,0,0,0
SA202501.csv,SA,202501,8928,none,0,0,0
SA202502.csv,SA,202502,8064,none,0,0,0
SA202503.csv,SA,202503,8928,none,0,0,0
SA202504.csv,SA,202504,8640,none,0,0,0
SA202505.csv,SA,202505,8928,none,0,0,0
SA202506.csv,SA,202506,8640,none,0,0,0
SA202507.csv,SA,202507,8928,none,0,0,0
SA202508.csv,SA,202508,8928,none,0,0,0
SA202509.csv,SA,202509,8640,none,0,0,0
SA202510.csv,SA,202510,8928,none,0,0,0
SA202511.csv,SA,202511,8640,none,0,0,0
SA202512.csv,SA,202512,8928,none,0,0,0
SA202601.csv,SA,202601,8928,none,0,0,0
SA202602.csv,SA,202602,8064,none,0,0,0
SA202603.csv,SA,202603,4896,incomplete-month;partial-month,0,0,0
TAS202101.csv,TAS,202101,1488,none,0,0,0
TAS202102.csv,TAS,202102,1344,none,0,0,0
TAS202103.csv,TAS,202103,1488,none,0,0,0
