schedulerId,startTs,completeTs,schedulerDurationMs,enabledUsers,cycles,tooSoon,errors,deadLetter,retries,queueLagAvgMs,queueLagMaxMs,cycleAvgMs,cycleMaxMs,segmentSendCount,segmentRules,tailStatus,tailObservedRuns,tailMinRuns,tailRunsAbove,tailLatestP99Ms
1773204721255_iw558e1gd,2026-03-11T04:52:01.255372Z,2026-03-11T04:52:03.804612Z,2549,15,1,14,0,0,0,360,360,1961,1961,0,"",healthy,15,10,0,1961
1773204780969_fgxqgecfk,2026-03-11T04:53:00.968379Z,2026-03-11T04:53:03.801924Z,2833,15,11,4,0,0,0,484,1377,1235,2119,0,"",healthy,15,10,0,2112
1773204841521_i9hddbrr0,2026-03-11T04:54:01.520687Z,2026-03-11T04:54:04.665278Z,3144,15,8,7,0,0,0,1234,1234,577,1573,0,"",healthy,15,10,0,1526
1773204901509_veu0oquau,2026-03-11T04:55:01.509142Z,2026-03-11T04:55:05.613209Z,4104,15,6,9,0,0,0,428,428,2276,3411,0,"",healthy,15,10,0,3346
1773204960950_5m4kqzqfz,2026-03-11T04:56:00.950105Z,2026-03-11T04:56:03.587694Z,2638,15,7,8,0,0,0,290,291,876,2100,0,"",healthy,15,10,0,2067
1773205020948_srmg8at5e,2026-03-11T04:57:00.947606Z,2026-03-11T04:57:05.447177Z,4499,15,5,10,0,0,0,589,589,2451,3661,0,"",healthy,15,10,0,3604
1773205081610_8818cknxp,2026-03-11T04:58:01.609658Z,2026-03-11T04:58:04.059226Z,2450,15,7,8,0,0,0,321,321,789,1865,0,"",healthy,15,10,0,1820
1773205140970_knsc7sja7,2026-03-11T04:59:00.969362Z,2026-03-11T04:59:04.551001Z,3581,15,7,8,0,0,0,479,480,1916,2829,0,"",healthy,15,10,0,2780
1773205201541_996jdrj2g,2026-03-11T05:00:01.540731Z,2026-03-11T05:00:04.097174Z,2556,15,6,9,0,0,0,388,388,713,1910,0,"",healthy,15,10,0,1840
1773205261550_kh8ym4ep5,2026-03-11T05:01:01.549719Z,2026-03-11T05:01:31.715021Z,30165,15,6,9,0,0,0,606,606,6913,29291,1,"Peak Demand Shield",healthy,15,10,1,28085
